"id","task","answer","topics_id","text_of_solution"
38,"Лодка проплыла некоторое расстояние по озеру за 5 ч. Такое же расстояние плот проплывает по реке за 20 ч. Сколько времени затратит лодка на тот же путь по течению реки?","4",16,"NaN"
38,"Лодка проплыла некоторое расстояние по озеру за 5 ч. Такое же расстояние плот проплывает по реке за 20 ч. Сколько времени затратит лодка на тот же путь по течению реки?","4",18,"NaN"
38,"Лодка проплыла некоторое расстояние по озеру за 5 ч. Такое же расстояние плот проплывает по реке за 20 ч. Сколько времени затратит лодка на тот же путь по течению реки?","4",13,"NaN"
45,"Собственная скорость катера равна 14,7 км, а его скорость против течения реки 10,2 км/ч. Какое расстояние проплывет катер, если будет двигаться 2 ч по течению реки и 4,5 ч против течения? ","84.3",16,"NaN"
45,"Собственная скорость катера равна 14,7 км, а его скорость против течения реки 10,2 км/ч. Какое расстояние проплывет катер, если будет двигаться 2 ч по течению реки и 4,5 ч против течения? ","84.3",18,"NaN"
45,"Собственная скорость катера равна 14,7 км, а его скорость против течения реки 10,2 км/ч. Какое расстояние проплывет катер, если будет двигаться 2 ч по течению реки и 4,5 ч против течения? ","84.3",13,"NaN"
77,"Расстояние между станциями 350 км. От этих станций одновременно навстречу друг другу вышли два поезда. Они встретились через 2,5 часа. Определите скорость первого поезда, если скорость второго равна 65 км. ","75",18,"NaN"
77,"Расстояние между станциями 350 км. От этих станций одновременно навстречу друг другу вышли два поезда. Они встретились через 2,5 часа. Определите скорость первого поезда, если скорость второго равна 65 км. ","75",12,"NaN"
139,"Вычислите: \(0,17 : 2\)","0.085",8,"NaN"
154,"Найдите значение выражени:  \(6,144:12+1,64\)","2.152",8,"NaN"
155,"Найдите значение выражени:  \(0,07+0,1001:1,43\)","0.14",8,"NaN"
187,"Найдите значение выражени:  \(\left ( 3\frac{2}{3}+1\frac{3}{4} \right ):\left ( 6\frac{7}{12}-2\frac{1}{4} \right )\cdot 0,8\)","1",8,"NaN"
213,"Найдите значение выражени:  \(1,456:\frac{7}{25}+\frac{5}{16}:0,125+4\frac{1}{2}\cdot 0,8\)","11.3",20,"NaN"
278,"Вычислить: \(5\frac{4}{7}:\left ( 8,4\cdot \frac{6}{7}\cdot (6-\frac{(2,3+5:6,25)\cdot 7}{8\cdot 0,0125+6,9})-20,384:1,3 \right )\)","15/14",20,"NaN"
302,"Вычислите: \((3\frac{1}{4}\cdot(14\frac{4}{5}+\frac{4}{15})-47):5\frac{9}{10}\)","1/3",20,"NaN"
307,"Вычислите: \(3\frac{11}{18}\cdot(1\frac{2}{13}\cdot2\frac{1}{10}-\frac{2}{13}\cdot13\frac{1}{2})+5\cdot(4\frac{2}{3}\cdot3\frac{3}{4}-\frac{6}{7}\cdot7\frac{14}{15})\)","54.75",20,"NaN"
388,"Решите уравнение: \(7m+1=8m+9\)","-8",24,"NaN"
422,"Самолёт пролетел расстояние между двумя городами за 3 часа, делая по 540 км в час. Сколько времени он летел обратно, если вследствие неблагоприятной погоды он делал на обратном пути лишь 450 км в час?","3.6",26,"NaN"
